a|to, towards, at
bosko|small forest, wood
boslo|box-tree; box-wood
bosor|sister-in-law
bot|barrel, cask
botanik; —a; —nist|botany —anic-ist;
botel; —i|bottle; to —
bov|beef
bov-suk|beef-tea
bovin|cow
bovol; —ep; —cef|calf; —'s liver; —'s head
bowling|bowling
box|box
boxaryo|box owner
boxer|boxer
boy|boy
boykot; —i|boycotting; to boycott
bozo|rough shape, rough sketch; printing proof
brakto|bract
bram; —i|longing n; to long for
bran|bran
brasil|arm badge; brassard; mourning-band
brasoril|wrist-watch
brava; —eso; —ado|brave; —ery
brax; —a|disarray; —ed; untidiness; untidy
brazadi|to braise
Brazil; —a|Brazil; —ian
breco|breach, gap
bretel|suspenders, strap
breva; —e; —eso|brief; —ly; brevity
brevi; —azo; —ayo|to abridge; —dgment; abbreviation
brezo; —evil|breeze; wind-screen
brid; —i|bridle; to —
brie|breeches
brif; —e; —i|letter; by —; to send, to write a —
brifbux|letter-box
brigad; —er; —i|brigade; sergeant; to brigade, to enrol
brigant|brigand;
brigi|to solicit; to canvass for
brij; —i; —er|bridge
bril; —a; —ant; —i|brilliance; shining; brilliant
brimi|to rag, to bully,
brindo; —i|toast
Brit; —a|Great Britain; British
briv; —i|shiver; to —
brodi; — (o)|embroidery; to —ider
brok; —er|brokerage; broker
brol; —i|blur; to —, to confuse, to embroil
brom; —ur|bromine; bromide
bronci; —o|to sulk, to pout; sulking, pouting
bronko; —it|bronchus; bronchitis
bronzo; —i|bronze; to —; to tan;
bros; —i|brush; to —
broxa; —el|paper bound, sewn; brochure, pamphlet
bruf; —i|swank; to —;
bruin; —i|drizzle, mizzle; to —
bruko; —el|caterpillar;
brul; —i|burning
brum; —a|mist; —y
bruna|brown
brus; —a|bush; —y; steppe; —y
bruta|raw, rough, natural;
brutala; —eso|brutal; —ity
buado; —i|steam; haze; blur; mist; to —
bub|man-servant, valet;
Buda|(city) Buda(pest)
Budah|Buddha
budaha, —ana; —hismo|buddhistic; buddhist; buddhism
Budan, —a|inhabitant of Buda
buden|black-pudding;
bufon; —ado|buffoon; —ery
bujet; —a|budget; —ary
buk; —a, —at; —i|register; —ered; to —; to book
bukan|roar, uproar, racket, hubbub, din
bukin; —ist; —i|book, small book, old book; second-hand bookseller; to browse among bookstalls
bukmeker|bookmaker
bul|ball;
bulon; —i|bolt; to —
bulso|ball, bowl
bulten|bulletin
bulto|bull
bulvar|boulevard
bulyon|broth, clear soup, meat soup
bum|boom
bumerang|boomerang
bun; —i|bud; to —
bunko|bunch
bunta|variegated
buo|buoy;
bur|conditional of b
burba|grumpy, surly, rough, rugged
burga; —un; —eyo|burgess; (middle-class) citizen; civilian; burgess-ship
burgola, —e|in plain clothes
burist, —in|clerk, receiver m, f
burlo; —a; —i|trick, mockery; burlesque, waggish; to mock, to scoff
buro; —a; —ye|office
burokrat, —a, —io|bureaucrat, —ic, —cracy
bursagent|stockbroker
burso|Stock-Exchange
bus|bus
bush; —a|bush; —y
busol|(mariner's) compass
bust(o); —il|bust; brassiere, bra
bustal|corsage
bustel|corsage, bodice
bustil|bra, brassiere
but|aim; goal
butin; —i|booty; to plunder, to pilfer
butleger|bootlegger
bux; —i|box, can; to —
buxel|drawer
c (cir)|ab. (about), nearly
calenj; —er; —i|challenge; —er; to —
calmo; —el|thatch; thatch cottage, small cottage
campi; —il|to totter; trap
canso; — un, —in|chance, luck; lucky man, — woman
canson|lucky shot, chance, luck
cap; —el|hat; ladies' hat
capeler, capelin|milliner
caper|hatter
capot|coping
car|char; car
car|I say, you say, he says, etc.
carlatan; —a; —ado|charlatan; —ical, —anry
carmo; —a, —ifa; —i|Charm; —ing; to —
cart(o)|charter
casta|chaste;
cedo; —i|cession; to cede
cedro|cedar, — tree, — wood
cef; —a; —algo|head
cefcefe, —a|tête-a-tête
cefen|bed-head, bedside
ceflok|chief town, county town, county seat
cefofonde|from stem to stern
cefurbo|capital (
cega; —i; —ifa; —o; —azo; —e|blind; to —; blinding
cegele|at random, blindly
cek|cheque, check
cel; —a|heaven; —ly
celarko|rainbow
celebra; —eso; —i|celebrated; —brity; to —brate
celiba; —un; —in; —eso|unmarried; bachelor; spinster; celibacy, bachelorhood, spinsterhood
celofan|cellophane
celul; —a; —it|cell, cellule; cellular;
celuloid|celluloid
celuloso|cellulose
cement|cement
cen; —i|supper; to have —
censur; —i; —er|censorship; to censor, to censure: censor
cent|cent
centravarmo|central heating
centrel|power house, central power station; central telephone room
centro; —a|centre, center; central
cereal|cereal
cerebro; —a|brain, —s; cerebral
ceremon; —a|ceremony; —monious
cerko|circus
cerni; —okos|to encircle, to surround;
certa; —e|certain; —ly, of course
certifi; —el|to certify; —ficate
cervel|brain, —s
cervo; —in|hart, stag, deer; doe, hind
cesi; —at; —o|to stop, to cease; —ed cessation, stoppage, suspension, breach
cesto|basket
cet|that means, i. e.
cetacan|cetacean
cetra; —i; —e|remaining a; to remain; moreover;
ceva; —e; —eso; —i|heavy; —ily; —iness: to be heavy
cevaqo|heavy water
cevkora; —e|heayv-hearted; —ly
ci|to say, to tell
cibernetik; —a|cybernetics; —ic(al)
cidro|cider
cif; —a, —at; —i; —er|rag; scrap rumpled to rumple, rag-picker, ragman,
c. i. f.|(comm.) cif
cifro; —i; —a, —at|cypher; to —; —ed
cigno|swan
cikal|cicada
cikatro; —i|cicatrice; to —trize
ciklamen|cyclamen
ciklist|cyclist
ciklo|bicycle
ciklon; —a|cyclone; —ic
cikonyo|stork
cikoryo|endive chicory
cil; —a|lash, eye-lash ciliary
Cile; —a|Chile; —ean, —ian
cilindrado|cylinder capacity
cilindro; —a|cylinder; —dric(al)
cim; —a; —e|top, summit; of the —; on the —
ciment; —i|cement; to —
cimex|bug, bed-bug
cimoso|cyma
cimpanzeo|chimpanzee
Cin; —a; —al|China —esc —ese (l
cingo; —in; —ol|wild boar, wild sow; young wild boar
cinika; cinsin: o|cynical cynicism
cintel|strap
cinto; —i|enclosure, precinct; to surround,
cintro; —i|curve of an arch, curvature; to centre, to arch, to camber
cintur|belt, waistband
cipa; —e; —eso|cheap; —ly; —ness
cipla; —i; —o|chipped; to chip; chip
cipol|onion
cipres|cypress
cips|chips
cir(o)|nearly: about (ab.)
cira; —e|approximate; —ly
cirki, —azo|to encircle; —ing
cirko; —a|circle; circular
cirkondar|district
cirkonso; —a|circumstance- —antial
cirkul; — i|circulation to circulate
cirkular|circular
ciroso|(med.)
cirqit (cirkuit)|circuit
cisel; —i|chisel to —
ciseli; —er; —azo|to chisel; —er; —lling
cislit|cystisis
cist; —a|bladder vesical
cistul|vesicle
cit; —i|quotation, citation; to quote
citerno|tank, cistern
citra; —acid|citric —acid
civ; —an|city citizen
civika; —isiro|civic civism
civila; —eyo, —azo; —i|civil —ization! to —ize
co|that
coklat; —el|chocolate — candy
cu|? do ?
cuf|tuft
cuk|donkey
da|from
daa|yes, yea
daco|country house, villa, cottage
Dacyo; —ya|Dacia —ian
dado; —i|die
dadus|by far from far
daidaid|soon; suddenly; from day to day, in a day's time dalyo dahlia
dak; —er|roof; tiler
dal|from the
daldel; —i|flagstone, tile; to tile, to floor
daldo; —i|flagstone, floor tile, paving stone, slab; to pave, to tile
dam (dekametro)|decametre
Dam|Lady, Madam
Damel|Young lady, Miss
dameni; —o|to damn; —ation
damesames|in a month's time
damomentalosa|in a flash in a second, in a trice
dan|then
dangadi|to endanger
dango; —a; —i|danger- —ous; to be —ous
dank; —i|thank, —s, thank..., thank to; to thank
dansaro, dansing|dancing (place) public dance-hall,
danso; —i|dance, —ing; to dance
dar|present of
dardo; —i; —ol; —i|sting; to —, to dart out
darka; —o; —e|dark; —ness; in the —
darto|dartre, tetter
das-exenta|duty free
daso|duty, duties, tax
dat|given
datadi|to fix a date
dato; —e; —i|date; dated...; to —
davekavek|in a week's time
de|of
dea; dee|divine; —ly
deb; —i|debt; to owe
debat|owing, due
debato; —i|debate; to —
debel|debenture
debla; —o, —eso|weak; —ness
deblapunt|foible
debosh; —a, —at; —i|debauch, —ery; —ed; to —
debut; —i; —er|beginning; to begin; —inner, debutant
deced; —at; —i|decease; —ed; to —
Decem(bro); —bra; —bre|December; of, in —
decenta; —e; decenso|decent; —ly, decency
decerni|to award
decid-vot|casting-vote
decid; —at; —e; —i|decision; decided; —dedly; to —ide
dediki; —ado|to dedicate; —ation
deduk; —i|deduction; to deduce
def; —a; —i|difference; —ent; to be —ent
defalki; —o|to write off, to deduct; deduction, reduction
defekt(o); —a|defect; —ive
defen; —i|definition, to define
defendo; —i|defence; to defend
deficit; —a|deficit;
definitiva; —e|definitive; —ly
defuzi; —o|diffusion; to diffuse;
degni|to deign
dego; —i|dam, dyke; to dam up, to dyke
degust, —azo; —i|tasting
dein|goddess
dek|deck
dekado, —a|decadence; —ent
dekan; —a|dean, doyen
deklari; —o; dekli; —o|to declare; —ation;
deklin; —i; —azo|decline, decay; to —; —ination, decay
dekor; —i; —azo, —ado|decoration, decor, scenery; to decorate; decoration; medal
dekret; —i|decree; to —
del|of the
deldi; —o|to delate; —ation
delegi; —o; —un|to delegate; —ation; delegate
delekto; —a|delectation; —ected, —ectable
deli; —o|to destroy; destruction
delifa|destructive
delifa|destructive, baleful
delikto; —i; —er; —eso|crime, offence; to commit a —, an —; delinquent; —quency
delior|destroyer
delir; —a; —i|delirium; delirious; to be —ious
delis; —a|delight; delicious
delkredo|del credere
delto|delta
delud; —i|disappointment; to —point
demarki; —o, —azo|to demarcate; demarcation
demarko-lin|line of demarcation; —line, dividing line
dementa; —ro|insane, mad; lunatic asylum
demisyon; —i|resignation; to resign
demograf, —a, —io|demographist, —phic, —phy
demokrat; —a; —io|democrat; —ic; —acy
demol, —i|demolition, to demolish
demon; —a|demon, devil; demoniac, —al
demontri; —o|to demonstrate; —ation; to prove; proof
demor; —i|dwelling; to dwell
demoskopio, —skopa|demoscopy (Gallup-poll), —scopic
den|because, for
dengo|money
densa; —o|dense; —ity; thick; —ness
dent; —ist|tooth; dentist
dentel|lace
dentoco|(elephant's) tusk
denton|battlement
denunci; —o|to denounce; —ment, denunciation
Deo|God;
department, —a|department, —al
departo; —i|departure; to depart
depasi; —a|to go beyond; to surpass; surpassing; overweighing, overtopping
dependi; —o|to depend; —ence
depisti|to track down
depli; —o|to deploy; —ment; to stretch; —ing
deplom; —i|diploma; to grant a —,
deplong|long since, for a long time
deplor; —i|deploring
depnun|from now on, henceforth
deport; —i; —un|deportation; to deport; —ee
depres; —i|depression; to depress
deputat, —taryo|deputy, Member of Parliament;
deputkam|House of Commons;
depvan|how long, since when
derap; —i|skidding; to skid
derid; —a|derision; —sory
deriv; —i|derivation; to derive
derker; —in|director m, f; manager, —ess
derki; derko|to direct, to lead, to manage; direction, lead, management
dermolog; —io|dermatologist; —logy
derobi|to rob, to filch; —
derogi; —o|to derogate; —ation
derut; —i|rout, to —
des|as soon as
desegni; —o, —azo|to designate; —ation; to appoint; —ment
desen; —i; —er|drawing; to draw; —er
desert|dessert, sweet
desirvi|to connect up, to serve
desisti, —(o)|to stand down; to desist
deskadi; —(o)|to come down, to lower oneself; fall, downfall
deskrib; —i|description; to describe
despo; —i|spite; to —
despot; —a; —ismo|despot; —ic; —ism
deste|so much; —
destil; —i|distillation; to distil
destin; —i; —aryo|destiny; to address; addressee;
detal; —e; —i|detail; in —; to —
dete|therefore, that is why
detektiv|detective
deten; —i|holding
determena; —i|definite
detesti; —o|to detest; —ation
detraki; —o|to upset; —tting
detro; —a; —e|distress; —ed; in-
Deuca; Deucland|German; —y
deven, —i|becoming, development; to become
devis(o)|motto, slogan
devolvi; —o|to develop; —ment
devori|to devour
devota; —eso|devout; —ness
devox —a|devotion; devoted
devulgi; —o|to divulge; —gation
dexa|right (side); right hand
dexe|right
dexelinki|to pull different ways
dey|of this, of it, of which, of whom; whose;
dezastro; —a|disaster; —ous
dezert; —a|desert
dezertal; —i; —er|desertion; to desert; —er
dezo; —i|desire
dezol; —a; —i|desolation; —ate; to —ate
di|to give
diagnostik; —a|diagnosis; —gnostic
diagonal, —a|diagonal
diagram, —a|diagram, —ammatic
diakon; —in|deacon; —ess; —a diaconal:
diakord; —i|discordance; to discord
dialekt; —a|dialect; —al
dialog; —i|dialogue; to —
diamant|diamond
diametro; —e|diameter; —metrally
diaprov; —i|disapproval; to —prove
diareo|diarrhoea
diarmi; —o, —azo|to disarm; —ament
diasorta, —t; —i|unmatched, unpared, odd; to break up, to unmatch
diaved; —i|retractation; to retract; disavowal, to disavow
diaxi|to set over, to unsettle
dibali; —azo|to unpack; —ing
dibapti|to change the name; —
dibarki; —o|to land; —ing; to disembark; —ation, —ment
diborsi; —o|to disburse; —ment, expenses
dibrol; —i|disentanglement; to —angle; —
dicapi|to take off one's hat
dicat-tempe|at a given time
dicefi|to decapitate, to behead
dicevi|to discharge, to take off a load
dici|to say
dicibla|expressible
dicifri|to decipher
didegno; —i|disdain; to —
didici|to retract
didogani; —azo|to clear
diduldi|to make, to become impatient
diefla, —i|blunt, to —
dieredi; —dat|to disinherit; —ed
difami; —azo|to defame; —ation
difavor; —i|disfavour; to —, to disadvantage
diferendo|difference, case of dispute, contention
diferenta; —i|different; to be —
difex; —i|defection; to fall away
difi|to undo
difid; —i|mistrust; to —
difiguri; —azo|to disfigure; —ation
difleki|to remove stains
difluo; —i|reflux, flowing back; to flow back
diforma; —eso|deformed; —mity, malformation
difterit; —a|diphtheria; —ric
digali; —azo|to disqualify: —ication
digel; —i|thaw; to —
digenereso|degenerateness
digeneri; —azo|to degenerate; —ation
digest; —i|digestion; to digest
digna; —e; —o|worthy; —ly; dignity
dignado; —i|disgrace; to —
dignal|office, dignity
digocil|draining-rack
digondi|to fly off the handle
digonfa; —i|flat, soft, down; to deflate; —
digorda; —i; —o|wide-awake; to shake up, to stir up; stirring up, shaking up
diidra; —i; —eso, —azo|dehydrated; to —drate; —ation
diinkant; —i|disenchantment; to disenchant
diintegri; —azo|to disintegrate; —ation
dijlun; —i|breakfast; to have —
dijuki|to unhook
dikafeina|decaffeinated, caffeine free
dikalci; —o, —azo|to decalcify; —fication
dikapli|to undo one's hair
dikateni|to unchain
diklator; —ur|dictator; —ship
dikli; —o|to dictate; dictation
diklon|saying
dikloza; —i; —o|blooming a; to bloom; blossoming
dikolora; —i|bleached, washed-out; to discolour, to wash out
dikombra|disencumbered
dikompon; —i|decomposition; to —ose
dikon; —i|misappreciation; to misappreciate
dikonseli; —enda|to dissuade; not to be advised
dikopri|to uncover
dikoragi; —fa|to discourage; —ing
dikori; —fa|to disgust; —ing; to dishearten; —ing
dikrediti|to cancel a credited amount
dikrema|skimmed
dikreski; —o|to decrease; —
dikrustcl|bread-crumb topping
dikulpi; —azo|to disculpate; —ation
dikun; —a|dissidence; —ent
dikushi|to sleep out
dilasi; —o|to relax; —
dilati|to unlace, to undo
dilati; —azo|to dilate —ation, distention
dilebi|to unstick, to unglue
dilespi|to unballast
dilezi|to indemnify, to compensate
diligenta; —enso|diligent; —ence
diligi|to unbind
diloji|to eject, to evict
dilsi; —o|to dilute; —tion
dilugi; —o|to refute, —ation
dilustri|to take the polish off
diluv; —a|deluge; diluvial
dim; —a; —e|half
dimdim|half and half
dimezi|to disable, to deprive
dimi|to divide by two
dimineli;|to clear of mines; —
dimixi|to disentangle
dimobili; —azo|to demobilize; —ation
dimodya|out of fashion, out of date; old-fashioned
